Age,Breed,Gender
Young,German Shepherd Dog,Female
Young,Terrier Mix,Male
Young,Belgian Shepherd / Malinois & Shepherd Mix,Female
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Wire Fox Terrier & Terrier Mix,Male
Young,Belgian Shepherd / Malinois & German Shepherd Dog Mix,Male
Young,German Shepherd Dog Mix,Female
Young,Standard Poodle & Labrador Retriever Mix,Female
Young,Dutch Shepherd,Male
Young,Yorkshire Terrier,Female
Young,Belgian Shepherd / Malinois Mix,Male
Young,Belgian Shepherd / Malinois Mix,Female
Adult,Doberman Pinscher Mix,Female
Young,Belgian Shepherd / Malinois & German Shepherd Dog Mix,Male
Young,Belgian Shepherd / Malinois Mix,Female
Young,Belgian Shepherd / Malinois Mix,Female
Young,Belgian Shepherd / Malinois Mix,Male
Young,Yorkshire Terrier,Male
Young,Pit Bull Terrier Mix,Unknown
Young,Corgi & Cattle Dog Mix,Female
Adult,Whippet & Saluki Mix,Male
Adult,Whippet & Saluki Mix,Female
Adult,German Shepherd Dog & Saluki Mix,Female
Young,German Shepherd Dog,Male
Young,Poodle Mix,Male
Adult,Carolina Dog Mix,Male
Young,Chiweenie & Labrador Retriever Mix,Female
Young,Border Terrier Mix,Female
Puppy,Maltese & Australian Cattle Dog / Blue Heeler Mix,Male
Young,Black Mouth Cur Mix,Female
Young,American Staffordshire Terrier Mix,Male
Young,Husky Mix,Female
Young,Poodle Mix,Male
Young,Akita Mix,Female
Adult,Schnauzer & Poodle Mix,Female
Puppy,Shepherd Mix,Female
Young,Chihuahua Mix,Male
Puppy,German Shepherd Dog Mix,Female
Young,Miniature Poodle Mix,Male
Young,Chihuahua Mix,Male
Young,Jack Russell Terrier & Chihuahua Mix,Male
Puppy,Border Terrier Mix,Male
Young,Belgian Shepherd / Malinois Mix,Female
Young,Poodle Mix,Male
Adult,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,Australian Cattle Dog / Blue Heeler Mix,Male
Young,Border Collie & Labrador Retriever Mix,Female
Young,Labrador Retriever Mix,Female
Puppy,Border Terrier Mix,Male
Puppy,Parson Russell Terrier Mix,Female
Young,Border Collie Mix,Male
Young,Chihuahua Mix,Female
Puppy,Labrador Retriever Mix,Female
Puppy,Labrador Retriever Mix,Female
Young,Labrador Retriever Mix,Female
Puppy,Labrador Retriever Mix,Male
Puppy,Labrador Retriever Mix,Male
Puppy,Labrador Retriever Mix,Male
Young,Beagle & Chihuahua Mix,Female
Young,Labrador Retriever Mix,Male
Young,American Staffordshire Terrier Mix,Female
Young,Labrador Retriever Mix,Male
Young,Labrador Retriever Mix,Female
Young,Labrador Retriever Mix,Female
Young,Yellow Labrador Retriever Mix,Male
Young,Chihuahua & Feist Mix,Male
Young,Weimaraner,Female
Young,Black Mouth Cur Mix,Female
Young,Australian Cattle Dog / Blue Heeler Mix,Female
Adult,Akita Mix,Female
Young,Labrador Retriever Mix,Female
Young,Black Labrador Retriever Mix,Female
Young,Pit Bull Terrier Mix,Male
Puppy,Border Collie Mix,Female
Adult,Labrador Retriever & Shepherd Mix,Male
