Age,Breed,Gender
Adult,Dachshund Mix,Female
Young,Dachshund & Beagle Mix,Male
Young,Dachshund & Beagle Mix,Male
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Labrador Retriever Mix,Female
Adult,Jindo Mix,Female
Young,Giant Schnauzer & Terrier Mix,Female
Young,Chihuahua,Male
Adult,German Shepherd Dog,Male
Young,Border Collie Mix,Female
Adult,Chihuahua,Male
Adult,Chihuahua,Male
Young,German Shepherd Dog,Female
Young,Labrador Retriever Mix,Female
Adult,Pug,Female
Young,German Shepherd Dog,Male
Adult,Dachshund Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Young,Wheaten Terrier & Spaniel Mix,Female
Adult,Chihuahua Mix,Male
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Husky,Male
Young,Standard Poodle,Female
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Border Collie,Female
Young,German Shepherd Dog,Male
Adult,Chihuahua Mix,Female
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Young,Terrier & Wire Fox Terrier Mix,Female
Adult,Dachshund Mix,Female
Young,Dachshund & Beagle Mix,Male
Young,Dachshund & Beagle Mix,Male
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Labrador Retriever Mix,Female
Adult,Jindo Mix,Female
Young,Giant Schnauzer & Terrier Mix,Female
Young,Chihuahua,Male
Adult,German Shepherd Dog,Male
Young,Border Collie Mix,Female
Adult,Chihuahua,Male
Adult,Chihuahua,Male
Young,German Shepherd Dog,Female
Young,Labrador Retriever Mix,Female
Adult,Pug,Female
Young,German Shepherd Dog,Male
Adult,Dachshund Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Young,Wheaten Terrier & Spaniel Mix,Female
Adult,Chihuahua Mix,Male
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Husky,Male
Young,Standard Poodle,Female
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Border Collie,Female
Young,German Shepherd Dog,Male
Adult,Chihuahua Mix,Female
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Young,Terrier & Wire Fox Terrier Mix,Female
Adult,Dachshund Mix,Female
Young,Dachshund & Beagle Mix,Male
Young,Dachshund & Beagle Mix,Male
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Labrador Retriever Mix,Female
Adult,Jindo Mix,Female
Young,Giant Schnauzer & Terrier Mix,Female
Young,Chihuahua,Male
Adult,German Shepherd Dog,Male
Young,Border Collie Mix,Female
Adult,Chihuahua,Male
Adult,Chihuahua,Male
Young,German Shepherd Dog,Female
Young,Labrador Retriever Mix,Female
Adult,Pug,Female
Young,German Shepherd Dog,Male
Adult,Dachshund Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Young,Wheaten Terrier & Spaniel Mix,Female
Adult,Chihuahua Mix,Male
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Husky,Male
Young,Standard Poodle,Female
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Border Collie,Female
Young,German Shepherd Dog,Male
Adult,Chihuahua Mix,Female
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Young,Terrier & Wire Fox Terrier Mix,Female
Adult,Dachshund Mix,Female
Young,Dachshund & Beagle Mix,Male
Young,Dachshund & Beagle Mix,Male
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Labrador Retriever Mix,Female
Adult,Jindo Mix,Female
Young,Giant Schnauzer & Terrier Mix,Female
Young,Chihuahua,Male
Adult,German Shepherd Dog,Male
Young,Border Collie Mix,Female
Adult,Chihuahua,Male
Adult,Chihuahua,Male
Young,German Shepherd Dog,Female
Young,Labrador Retriever Mix,Female
Adult,Pug,Female
Young,German Shepherd Dog,Male
Adult,Dachshund Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Young,Wheaten Terrier & Spaniel Mix,Female
Adult,Chihuahua Mix,Male
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Husky,Male
Young,Standard Poodle,Female
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Border Collie,Female
Young,German Shepherd Dog,Male
Adult,Chihuahua Mix,Female
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Male
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog & Pit Bull Terrier Mix,Male
Young,Terrier & Wire Fox Terrier Mix,Female
Adult,Dachshund Mix,Female
Young,Dachshund & Beagle Mix,Male
Young,Dachshund & Beagle Mix,Male
Young,Australian Cattle Dog / Blue Heeler,Female
Young,Labrador Retriever Mix,Female
Adult,Jindo Mix,Female
Young,Giant Schnauzer & Terrier Mix,Female
Young,Chihuahua,Male
Adult,German Shepherd Dog,Male
Young,Border Collie Mix,Female
Adult,Chihuahua,Male
Adult,Chihuahua,Male
Young,German Shepherd Dog,Female
Young,Labrador Retriever Mix,Female
Adult,Pug,Female
Young,German Shepherd Dog,Male
Adult,Dachshund Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Puppy,Labrador Retriever & Collie Mix,Female
Puppy,Labrador Retriever & Shepherd Mix,Female
Young,Wheaten Terrier & Spaniel Mix,Female
Adult,Chihuahua Mix,Male
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Husky,Male
Young,Standard Poodle,Female
Puppy,Australian Cattle Dog / Blue Heeler,Female
Young,Border Collie,Female
Young,German Shepherd Dog,Male
Adult,Chihuahua Mix,Female
Puppy,Schnauzer & German Shepherd Dog Mix,Female
Young,German Shepherd Dog Mix,Female
Adult,Chihuahua Mix,Female
Young,German Shepherd Dog Mix,Male
